elapsed_sec,ops,written_gib,window_p50_us,window_p99_us,l0_files,l1_files,l2_files
30.1314,100000,0.38594,5,1232,7,41,184
63.1482,200000,0.77188,5,1221,6,45,209
102.667,300000,1.15782,6,1235,10,20,264
136.244,400000,1.54376,6,1222,5,45,211
178.949,500000,1.9297,5,1247,9,22,230
212.753,600000,2.31564,5,1221,7,46,210
252.616,700000,2.70158,5,1252,1,41,202
293.084,800000,3.08752,5,1238,5,45,243
329.756,900000,3.47346,5,1251,12,16,186
369.649,1000000,3.8594,5,1248,3,44,215
405.78,1100000,4.24534,5,1240,9,33,210
448.427,1200000,4.63128,5,1258,0,46,199
484.987,1300000,5.01722,5,1237,5,46,218
525.505,1400000,5.40316,5,1255,10,27,239
580.554,1500000,5.7891,6,1278,1,45,227
622.117,1600000,6.17504,5,1278,4,46,241
677.423,1700000,6.56098,6,1279,9,43,222
723.884,1800000,6.94692,5,1304,12,21,241
776.624,1900000,7.33286,5,1280,3,47,221
823.797,2000000,7.7188,5,1288,7,46,229
876.911,2100000,8.10474,5,1296,11,19,221
931.286,2200000,8.49068,5,1284,2,47,226
979.547,2300000,8.87662,5,1299,5,45,192
1034.9,2400000,9.26256,5,1287,10,25,261
1084.08,2500000,9.6485,5,1326,1,46,232
1141.24,2600000,10.0344,5,1283,4,44,229
1190.47,2700000,10.4204,5,1312,9,43,234
1252.9,2800000,10.8063,6,1283,12,16,208
1307.55,2900000,11.1923,5,1294,3,46,212
1362.55,3000000,11.5782,5,1290,7,45,199
1420.31,3100000,11.9641,5,1308,11,22,243
1474.69,3200000,12.3501,5,1315,2,46,198
1534.53,3300000,12.736,5,1281,5,48,237
1585.89,3400000,13.122,5,1341,10,26,254
1654.98,3500000,13.5079,5,1295,1,45,219
1709.57,3600000,13.8938,5,1328,4,46,203
1769.92,3700000,14.2798,5,1290,9,40,212
1831.34,3800000,14.6657,5,1323,12,21,234
1892.36,3900000,15.0517,5,1320,3,44,199
1953.38,4000000,15.4376,5,1303,7,46,225
2014.26,4100000,15.8235,5,1325,11,18,241
2082.47,4200000,16.2095,5,1302,2,45,227
2136.01,4300000,16.5954,5,1335,5,48,245
2205.3,4400000,16.9814,5,1304,10,23,242
2270.51,4500000,17.3673,5,1364,1,45,235
2336.07,4600000,17.7532,6,1321,4,45,212
2399.51,4700000,18.1392,6,1368,9,42,233
2468.2,4800000,18.5251,5,1339,12,18,199
2537.44,4900000,18.9111,5,1322,3,45,226
2598.99,5000000,19.297,5,1349,7,46,224
2669.33,5100000,19.6829,5,1300,11,21,240
2733.39,5200000,20.0689,5,1387,2,46,226
2805.65,5300000,20.4548,5,1300,5,45,232
2870.06,5400000,20.8408,5,1336,10,23,240
2947.82,5500000,21.2267,5,1321,1,45,208
3016.36,5600000,21.6126,6,1365,4,47,215
3087.59,5700000,21.9986,6,1372,9,38,205
3164.7,5800000,22.3845,6,1347,12,21,243
3232.38,5900000,22.7705,6,1366,3,46,218
3310.32,6000000,23.1564,6,1299,7,47,230
3383.11,6100000,23.5423,6,1458,11,19,253
3472.8,6200000,23.9283,6,1355,2,45,216
3545.49,6300000,24.3142,6,1412,5,45,205
3621.99,6400000,24.7002,6,1345,10,31,206
3701.97,6500000,25.0861,5,1348,1,46,236
3774.04,6600000,25.472,5,1337,4,44,196
3855.14,6700000,25.858,6,1377,9,42,230
3931,6800000,26.2439,6,1517,12,17,246
4020.41,6900000,26.6299,6,1351,3,46,231
4092.78,7000000,27.0158,6,1445,7,46,226
4181.04,7100000,27.4017,7,1371,11,21,223
4266.37,7200000,27.7877,6,1430,2,45,233
4350.92,7300000,28.1736,7,1395,5,44,202
4434.27,7400000,28.5596,6,1412,10,27,253
4517.62,7500000,28.9455,6,1351,1,45,221
4599.9,7600000,29.3314,5,1305,4,47,233
4673.65,7700000,29.7174,5,1396,9,40,240
4765.86,7800000,30.1033,6,1349,12,21,228
4849.2,7900000,30.4893,6,1390,3,44,241
4936.94,8000000,30.8752,6,1307,7,46,223
5021.69,8100000,31.2611,6,1424,11,19,233
